,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,WAR
2861,jorgeor01,21,27,144,56,11,5,1489,571,259,40,233,149,0.8600000000000001,,15,20.0,1,2264.0,36,322,,,,3,0.0,,3.4
2862,kelleha02,4,9,50,9,4,0,404,174,89,5,81,49,1.32,,2,11.0,0,654.0,21,111,,,,4,0.0,,-1.7999999999999998
2863,kleinnu01,1,1,9,4,1,0,100,44,18,1,10,14,0.6699999999999999,,0,0.0,0,144.0,2,22,,,,2,0.0,,-0.22
2864,kressre01,0,0,4,0,0,0,28,13,13,1,6,6,0.66,,0,1.0,0,48.0,3,14,,,,2,0.0,,-0.6499999999999999
2865,lamanfr01,0,0,2,0,0,0,11,5,3,0,1,1,0.31,,0,0.0,0,17.0,0,3,,,,1,0.0,,-0.08
2866,lanahdi01,6,13,56,13,4,2,456,177,87,13,75,62,1.1800000000000002,,3,6.0,1,704.0,22,101,,,,4,0.0,,-0.48
2867,liebedu01,1,2,21,1,0,2,175,62,26,1,25,15,0.62,,0,1.0,0,249.0,14,29,,,,2,0.0,,1.31
2868,loganbo01,7,15,57,25,5,4,668,245,78,9,81,67,1.6,,3,2.0,0,979.0,18,100,,,,5,0.0,,2.9699999999999998
2869,martiwe01,0,2,3,2,0,0,19,8,12,0,11,1,0.33,,0,0.0,0,36.0,0,13,,,,1,0.0,,-0.59
2870,mcgeebi01,46,41,197,102,31,6,2559,861,354,53,355,340,2.2800000000000002,,16,6.0,2,3700.0,37,422,,,,8,0.0,,8.69
2871,mcleaal01,0,0,4,0,0,0,26,12,7,0,5,3,0.32,,0,0.0,0,42.0,1,8,,,,1,0.0,,-0.28
2872,mulcahu01,45,89,220,143,63,9,3485,1271,579,69,487,314,2.5300000000000002,,36,39.0,4,5161.0,48,695,,,,9,0.0,,4.32
2873,nelsoem01,5,4,25,8,3,1,232,94,35,3,27,17,0.62,,2,3.0,0,346.0,11,39,,,,2,0.0,,0.5700000000000001
2874,osborwa01,1,1,7,3,0,0,64,32,14,1,9,9,0.6,,1,0.0,0,103.0,2,14,,,,2,0.0,,-0.08
2875,passecl01,162,150,444,331,188,21,8159,2856,1003,105,728,1104,3.94,,22,39.0,1,11642.0,85,1204,,,,13,0.0,,43.44
2876,pettile01,8,6,44,8,1,3,339,135,65,7,62,45,0.6499999999999999,,2,4.0,0,522.0,24,70,,,,2,0.0,,0.85
2877,pezzupr01,3,5,42,7,2,1,259,116,61,5,51,24,0.48,,0,7.0,1,433.0,13,75,,,,2,0.0,,-1.0999999999999999
2878,reisbo01,10,13,69,9,5,2,728,262,115,12,144,52,0.9700000000000001,,6,12.0,0,1134.0,45,139,,,,4,0.0,,-0.45999999999999996
2879,riplewa01,0,0,2,0,0,0,12,7,4,0,3,0,0.41,,0,0.0,0,21.0,2,4,,,,1,0.0,,-0.05
2880,rogerbu01,0,1,2,1,0,0,30,16,8,0,6,7,0.34,,0,0.0,0,53.0,1,15,,,,1,0.0,,-0.49
2881,rybami01,52,34,240,36,16,16,2351,817,319,47,247,307,2.71,,14,7.0,5,3352.0,132,381,,,,10,0.0,,5.470000000000001
2882,schotge01,28,41,136,62,24,4,1762,590,243,22,222,192,1.35,,14,9.0,1,2546.0,45,300,,,,5,0.0,,4.3100000000000005
2883,shouncl01,73,59,454,85,34,29,3861,1325,559,81,404,483,4.48,,15,10.0,2,5466.0,207,631,,,,14,0.0,,8.08
2884,sullijo05,30,37,150,55,20,5,1764,601,262,25,298,216,1.61,,19,17.0,0,2627.0,55,334,,,,5,0.0,,0.8
2885,turbege01,2,12,62,15,4,0,554,196,126,10,157,47,0.8200000000000001,,21,6.0,1,875.0,30,144,,,,3,0.0,,-0.4099999999999999
2886,upchuwo01,0,4,10,5,2,0,131,59,36,10,26,8,0.62,,1,0.0,0,214.0,4,40,,,,2,0.0,,-0.21999999999999997
2887,vancejo01,3,2,15,3,0,0,172,67,37,5,34,17,0.89,,3,0.0,0,264.0,9,40,,,,3,0.0,,0.08
